trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,4,15.234132446886555,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",35,13,-65.9732621684829,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",30,10,-31.26523358086564,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",25,-1,32.52597681597734,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",25,4,-79.42360334591005,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",30,14,26.30996780072948,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",30,20,4.941711529275224,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",25,-22,56.38136754467956,"{0: 43, 1: 4, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",25,18,-27.48004067666921,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,-14,48.04034545124966,"{0: 37, 1: 1, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",30,12,-18.827188667077678,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",30,13,-107.45588022422618,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 3}",1
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,15,17.95173675572805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,11,10.820167056840196,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",35,10,-48.59043080823222,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",20,13,14.527472133796662,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,10,11.421353841264105,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,9,15.396146621212603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,7,-21.090562150463466,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,4,14.800524320380031,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",25,20,8.537898828541442,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",25,17,14.348736139529095,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,15,19.689196552595234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,7,-7.068963032079195,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,4,-22.921143840570295,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,-8,20.5506573683319,"{0: 29, 1: 2, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,-8,28.900610738340806,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 0}",0
